timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666542037599,132,Delete Users,200,OK,endurance 1-24,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,132,0,0
1666542037735,127,Get User by ID,200,OK,endurance 1-24,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,127,0,0
1666542039064,568,Get Users,200,OK,endurance 1-25,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,568,0,434
1666542039632,136,Delete Users,200,OK,endurance 1-25,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,136,0,0
1666542039768,127,Get User by ID,200,OK,endurance 1-25,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,127,0,0
1666542041059,553,Get Users,200,OK,endurance 1-26,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,553,0,415
1666542041613,129,Delete Users,200,OK,endurance 1-26,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,129,0,0
1666542041743,125,Get User by ID,200,OK,endurance 1-26,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,125,0,0
1666542043061,593,Get Users,200,OK,endurance 1-27,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,593,0,453
1666542043654,131,Delete Users,200,OK,endurance 1-27,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,131,0,0
1666542043786,136,Get User by ID,200,OK,endurance 1-27,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,136,0,0
1666542045058,572,Get Users,200,OK,endurance 1-28,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,572,0,436
1666542045631,131,Delete Users,200,OK,endurance 1-28,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,131,0,0
1666542045763,130,Get User by ID,200,OK,endurance 1-28,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,130,0,0
1666542047058,570,Get Users,200,OK,endurance 1-29,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,570,0,429
1666542047629,132,Delete Users,200,OK,endurance 1-29,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,132,0,0
1666542047761,130,Get User by ID,200,OK,endurance 1-29,text,true,,310,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,130,0,0
1666542049065,580,Get Users,200,OK,endurance 1-30,text,true,,784,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,580,0,430
1666542049645,133,Delete Users,200,OK,endurance 1-30,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,133,0,0
1666542049779,131,Get User by ID,200,OK,endurance 1-30,text,true,,313,152,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,131,0,0
